município,mês,Quantidade
Amaralina,November de 2021,0.0
Amaralina,December de 2021,0.0
Amaralina,January de 2022,0.0
Amaralina,February de 2022,0.0
Amaralina,March de 2022,0.0
Amaralina,April de 2022,0.0
Amaralina,May de 2022,0.0
Amaralina,June de 2022,1.0
Amaralina,July de 2022,0.0
Amaralina,August de 2022,0.0
Amaralina,September de 2022,0.0
Amaralina,October de 2022,0.0
Amaralina,November de 2022,0.0
Amaralina,December de 2022,0.0
Amaralina,January de 2023,0.0
Amaralina,February de 2023,0.0
Amaralina,March de 2023,0.0
Amaralina,April de 2023,0.0
Amaralina,May de 2023,0.0
Amaralina,June de 2023,0.0
Amaralina,July de 2023,0.0
Amaralina,August de 2023,0.0
Amaralina,September de 2023,0.0
Amaralina,October de 2023,0.0
Amaralina,November de 2023,0.0
Amaralina,December de 2023,0.0
Amaralina,January de 2024,0.0
Amaralina,February de 2024,1.0
Amaralina,March de 2024,0.0
Amaralina,April de 2024,0.0
Amaralina,May de 2024,0.0
Amaralina,June de 2024,0.0
Amaralina,July de 2024,0.0
Amaralina,August de 2024,0.0
Amaralina,September de 2024,0.0
Amaralina,October de 2024,0.0
Americano do Brasil,January de 2021,0.0
Americano do Brasil,February de 2021,0.0
Americano do Brasil,March de 2021,0.0
Americano do Brasil,April de 2021,0.0
Americano do Brasil,May de 2021,0.0
Americano do Brasil,June de 2021,0.0
Americano do Brasil,July de 2021,0.0
Americano do Brasil,August de 2021,0.0
Americano do Brasil,September de 2021,0.0
Americano do Brasil,October de 2021,0.0
Americano do Brasil,November de 2021,0.0
Americano do Brasil,December de 2021,0.0
Americano do Brasil,January de 2022,0.0
Americano do Brasil,February de 2022,0.0
Americano do Brasil,March de 2022,0.0
Americano do Brasil,April de 2022,0.0
Americano do Brasil,May de 2022,0.0
Americano do Brasil,June de 2022,0.0
Americano do Brasil,July de 2022,0.0
Americano do Brasil,August de 2022,0.0
Americano do Brasil,September de 2022,0.0
Americano do Brasil,October de 2022,0.0
Americano do Brasil,November de 2022,0.0
Americano do Brasil,December de 2022,0.0
Americano do Brasil,January de 2023,0.0
Americano do Brasil,February de 2023,0.0
Americano do Brasil,March de 2023,1.0
Americano do Brasil,April de 2023,0.0
Americano do Brasil,May de 2023,0.0
Americano do Brasil,June de 2023,0.0
Americano do Brasil,July de 2023,0.0
Americano do Brasil,August de 2023,0.0
Americano do Brasil,September de 2023,0.0
Americano do Brasil,October de 2023,0.0
Americano do Brasil,November de 2023,0.0
Americano do Brasil,December de 2023,0.0
Americano do Brasil,January de 2024,0.0
Americano do Brasil,February de 2024,0.0
Americano do Brasil,March de 2024,0.0
Americano do Brasil,April de 2024,0.0
Americano do Brasil,May de 2024,0.0
Americano do Brasil,June de 2024,0.0
Americano do Brasil,July de 2024,0.0
Americano do Brasil,August de 2024,0.0
Americano do Brasil,September de 2024,0.0
Americano do Brasil,October de 2024,0.0
Amorinópolis,January de 2021,0.0
Amorinópolis,February de 2021,0.0
Amorinópolis,March de 2021,0.0
Amorinópolis,April de 2021,0.0
Amorinópolis,May de 2021,0.0
Amorinópolis,June de 2021,0.0
Amorinópolis,July de 2021,0.0
Amorinópolis,August de 2021,0.0
Amorinópolis,September de 2021,0.0
Amorinópolis,October de 2021,0.0
Amorinópolis,November de 2021,0.0
Amorinópolis,December de 2021,0.0
Amorinópolis,January de 2022,0.0
Amorinópolis,February de 2022,0.0
Amorinópolis,March de 2022,0.0
Amorinópolis,April de 2022,0.0
Amorinópolis,May de 2022,0.0
Amorinópolis,June de 2022,0.0
Amorinópolis,July de 2022,0.0
Amorinópolis,August de 2022,0.0
Amorinópolis,September de 2022,0.0
Amorinópolis,October de 2022,0.0
Amorinópolis,November de 2022,0.0
Amorinópolis,December de 2022,0.0
Amorinópolis,January de 2023,0.0
Amorinópolis,February de 2023,0.0
Amorinópolis,March de 2023,0.0
Amorinópolis,April de 2023,0.0
Amorinópolis,May de 2023,0.0
Amorinópolis,June de 2023,0.0
Amorinópolis,July de 2023,0.0
Amorinópolis,August de 2023,0.0
Amorinópolis,September de 2023,0.0
Amorinópolis,October de 2023,0.0
Amorinópolis,November de 2023,0.0
Amorinópolis,December de 2023,0.0
Amorinópolis,January de 2024,0.0
Amorinópolis,February de 2024,0.0
Amorinópolis,March de 2024,0.0
Amorinópolis,April de 2024,0.0
Amorinópolis,May de 2024,0.0
Amorinópolis,June de 2024,0.0
Amorinópolis,July de 2024,0.0
Amorinópolis,August de 2024,0.0
Amorinópolis,September de 2024,0.0
Amorinópolis,October de 2024,0.0
Anápolis,January de 2021,5.0
Anápolis,February de 2021,1.0
Anápolis,March de 2021,2.0
Anápolis,April de 2021,6.0
Anápolis,May de 2021,1.0
Anápolis,June de 2021,4.0
Anápolis,July de 2021,2.0
Anápolis,August de 2021,3.0
Anápolis,September de 2021,2.0
Anápolis,October de 2021,6.0
Anápolis,November de 2021,3.0
Anápolis,December de 2021,2.0
Anápolis,January de 2022,2.0
Anápolis,February de 2022,5.0
